1,1,307.7405,273.65414,20,20,-1,-1,-1,-1
1,2,270.25504,242.0876,20,20,-1,-1,-1,-1
2,1,308.6571,273.42236,20,20,-1,-1,-1,-1
2,2,270.39056,242.00673,20,20,-1,-1,-1,-1
3,1,312.19107,273.15726,20,20,-1,-1,-1,-1
3,2,273.6562,241.16399,20,20,-1,-1,-1,-1
4,1,315.27832,271.7081,20,20,-1,-1,-1,-1
4,2,274.90887,241.38266,20,20,-1,-1,-1,-1
5,1,320.26044,269.13553,20,20,-1,-1,-1,-1
5,2,276.971,240.65869,20,20,-1,-1,-1,-1
6,1,320.74988,269.53806,20,20,-1,-1,-1,-1
6,2,277.15088,240.0846,20,20,-1,-1,-1,-1
7,1,322.8881,266.23654,20,20,-1,-1,-1,-1
7,2,279.64542,235.56618,20,20,-1,-1,-1,-1
8,1,325.39465,265.15994,20,20,-1,-1,-1,-1
8,2,282.10577,234.8289,20,20,-1,-1,-1,-1
9,1,327.76996,262.08588,20,20,-1,-1,-1,-1
9,2,283.56262,232.73035,20,20,-1,-1,-1,-1
10,1,326.7688,261.50577,20,20,-1,-1,-1,-1
10,2,281.29907,232.7054,20,20,-1,-1,-1,-1
11,1,325.2094,261.1428,20,20,-1,-1,-1,-1
11,2,280.85794,230.81065,20,20,-1,-1,-1,-1
12,1,323.4572,261.6791,20,20,-1,-1,-1,-1
12,2,279.40112,231.68623,20,20,-1,-1,-1,-1
13,1,320.51105,263.85925,20,20,-1,-1,-1,-1
13,2,279.33923,233.73376,20,20,-1,-1,-1,-1
14,1,315.5642,268.73587,20,20,-1,-1,-1,-1
14,2,276.48297,238.11386,20,20,-1,-1,-1,-1
15,1,312.7479,269.78207,20,20,-1,-1,-1,-1
15,2,274.535,239.52669,20,20,-1,-1,-1,-1
16,1,312.20172,269.73886,20,20,-1,-1,-1,-1
16,2,273.63672,242.25487,20,20,-1,-1,-1,-1
17,1,311.71558,271.18024,20,20,-1,-1,-1,-1
17,2,273.90692,242.00697,20,20,-1,-1,-1,-1
18,1,311.98785,270.7729,20,20,-1,-1,-1,-1
18,2,273.62775,240.9275,20,20,-1,-1,-1,-1
19,1,311.48715,269.94217,20,20,-1,-1,-1,-1
19,2,272.98846,238.7882,20,20,-1,-1,-1,-1
20,1,311.13925,270.5421,20,20,-1,-1,-1,-1
20,2,272.49347,239.62566,20,20,-1,-1,-1,-1
21,1,311.63196,271.27762,20,20,-1,-1,-1,-1
21,2,272.82822,239.66765,20,20,-1,-1,-1,-1
22,1,310.6731,271.83585,20,20,-1,-1,-1,-1
22,2,272.30743,240.06317,20,20,-1,-1,-1,-1
23,1,309.6493,272.00888,20,20,-1,-1,-1,-1
23,2,271.2326,241.59497,20,20,-1,-1,-1,-1
24,1,307.01825,272.25616,20,20,-1,-1,-1,-1
24,2,269.89105,242.41458,20,20,-1,-1,-1,-1
25,1,307.4959,273.21262,20,20,-1,-1,-1,-1
25,2,270.08325,242.88979,20,20,-1,-1,-1,-1
